"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"75","부산광역시 기장군 기장읍 동부리","158-5","0158","0005","더포인트","47.0543","202202","25","14,800","-","8","-","-","2012","차성로326번길 23","-","중개거래","부산 기장군","-"
"76","부산광역시 기장군 기장읍 동부리","374-11","0374","0011","동산그린타워","83.4800","202202","19","19,000","-","4","-","-","1992","차성동로122번길 30","-","중개거래","부산 기장군","-"
"77","부산광역시 기장군 기장읍 동부리","374-11","0374","0011","동산그린타워","58.7000","202202","14","11,500","-","4","-","-","1992","차성동로122번길 30","-","직거래","-","-"
"78","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202202","11","18,000","-","5","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"79","부산광역시 기장군 기장읍 동부리","158-3","0158","0003","서린에코빌아파트","61.9350","202202","10","15,000","-","6","-","-","1989","차성로326번길 19","-","중개거래","부산 기장군","-"
"80","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202202","08","28,500","-","7","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"81","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202202","08","29,000","-","4","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"82","부산광역시 기장군 기장읍 동부리","133-10","0133","0010","애경아트빌","79.9250","202201","24","15,700","-","3","-","-","2002","차성로332번길 2","-","중개거래","부산 기장군","-"
"83","부산광역시 기장군 기장읍 동부리","133-8","0133","0008","대진로얄","67.9200","202201","24","14,900","-","6","-","-","1990","차성로326번길 9","-","중개거래","부산 기장군","-"
"84","부산광역시 기장군 기장읍 동부리","509","0509","0000","삼화펠리스힐아파트","73.8194","202201","20","16,700","-","9","-","-","2016","배산로68번길 16-7","-","중개거래","부산 기장군","-"
"85","부산광역시 기장군 기장읍 동부리","377-1","0377","0001","부전베스트","71.6400","202201","08","13,500","-","3","-","-","1990","차성동로142번길 12-2","-","중개거래","부산 기장군","-"
"86","부산광역시 기장군 기장읍 교리","361-1","0361","0001","전원그린맨션B동","59.6400","202204","26","12,000","-","9","-","-","1993","차성동로154번길 28","-","중개거래","부산 기장군","-"
"87","부산광역시 기장군 기장읍 교리","2","0002","0000","이진캐스빌블루1차","84.9005","202204","25","43,300","-","4","-","-","2011","차성로 461","-","중개거래","부산 기장군","-"
